user_id,gender,age,zipcode,occupation
53,M,25,96931,other or not specified
134,M,25,66212,other or not specified
173,M,25,45237,other or not specified
179,M,25,2135,other or not specified
235,M,25,98153,other or not specified
275,M,25,48162,other or not specified
283,M,25,10003,other or not specified
304,M,25,55414,other or not specified
368,M,25,90293,other or not specified
386,M,25,55408,other or not specified
414,M,25,55317,other or not specified
513,M,25,55119,other or not specified
591,M,25,76201,other or not specified
607,M,25,43614,other or not specified
618,M,25,74105,other or not specified
622,M,25,92612,other or not specified
678,M,25,34952,other or not specified
708,M,25,37042,other or not specified
712,M,25,95136,other or not specified
730,M,25,10580,other or not specified
748,M,25,60098,other or not specified
779,M,25,60156,other or not specified
786,M,25,55987,other or not specified
788,M,25,37601,other or not specified
823,M,25,92078,other or not specified
839,M,25,98103,other or not specified
844,M,25,92121,other or not specified
877,M,25,90631,other or not specified
913,M,25,20744-6223,other or not specified
963,M,25,48197,other or not specified
970,M,25,27615,other or not specified
993,M,25,45678,other or not specified
1010,M,25,10310,other or not specified
1029,M,25,20015,other or not specified
1100,M,25,60090,other or not specified
1127,M,25,11788,other or not specified
1161,M,25,10025,other or not specified
1189,M,25,85712,other or not specified
1208,M,25,12590,other or not specified
1338,M,25,94108,other or not specified
1408,M,25,90046,other or not specified
1579,M,25,60201,other or not specified
1589,M,25,95136,other or not specified
1599,M,25,92646,other or not specified
1611,M,25,3867,other or not specified
1616,M,25,16101,other or not specified
1624,M,25,6810,other or not specified
1635,M,25,97212,other or not specified
1641,M,25,95819,other or not specified
1708,M,25,64106,other or not specified
1709,M,25,73147,other or not specified
1712,M,25,73003,other or not specified
1713,M,25,47421,other or not specified
1716,M,25,43229,other or not specified
1747,M,25,90638,other or not specified
1776,M,25,45801,other or not specified
1790,M,25,19152,other or not specified
1836,M,25,10016,other or not specified
1854,M,25,92346,other or not specified
1997,M,25,84108,other or not specified
2021,M,25,61364,other or not specified
2087,M,25,37923-3112,other or not specified
2124,M,25,12306,other or not specified
2131,M,25,1701,other or not specified
2149,M,25,60089,other or not specified
2181,M,25,45245,other or not specified
2208,M,25,10006,other or not specified
2246,M,25,60622,other or not specified
2272,M,25,71731,other or not specified
2290,M,25,61021,other or not specified
2398,M,25,98122,other or not specified
2419,M,25,6096,other or not specified
2445,M,25,48104,other or not specified
2457,M,25,60656,other or not specified
2567,M,25,6451,other or not specified
2589,M,25,19004,other or not specified
2604,M,25,45459,other or not specified
2642,M,25,33073,other or not specified
2686,M,25,85283,other or not specified
2767,M,25,99163,other or not specified
2831,M,25,32225,other or not specified
2840,M,25,60660,other or not specified
2848,M,25,47401,other or not specified
2857,M,25,10469,other or not specified
2917,M,25,60201,other or not specified
2935,M,25,55126,other or not specified
2940,M,25,2143,other or not specified
2967,M,25,94110,other or not specified
3032,M,25,47303,other or not specified
3073,M,25,90028,other or not specified
3074,M,25,23451,other or not specified
3106,M,25,33142,other or not specified
3110,M,25,10002,other or not specified
3118,M,25,77025,other or not specified
3146,M,25,31605,other or not specified
3170,M,25,8461,other or not specified
3193,M,25,92019,other or not specified
3209,M,25,21555,other or not specified
3221,M,25,19106,other or not specified
3335,M,25,10023,other or not specified
3381,M,25,96671,other or not specified
3480,M,25,59405,other or not specified
3485,M,25,94121,other or not specified
3490,M,25,74136,other or not specified
3507,M,25,2472,other or not specified
3520,M,25,40515,other or not specified
3521,M,25,53213,other or not specified
3527,M,25,53213,other or not specified
3530,M,25,77058,other or not specified
3568,M,25,98503,other or not specified
3595,M,25,85024,other or not specified
3613,M,25,37205,other or not specified
3614,M,25,45458,other or not specified
3636,M,25,6708,other or not specified
3641,M,25,92008,other or not specified
3650,M,25,60611,other or not specified
3665,M,25,95903,other or not specified
3678,M,25,6880,other or not specified
3689,M,25,80906,other or not specified
3735,M,25,10009,other or not specified
3741,M,25,96818,other or not specified
3742,M,25,90266,other or not specified
3744,M,25,60645,other or not specified
3767,M,25,94305,other or not specified
3774,M,25,52556,other or not specified
3778,M,25,61832,other or not specified
3859,M,25,89145,other or not specified
3863,M,25,94558,other or not specified
3875,M,25,66605,other or not specified
3876,M,25,11235,other or not specified
3903,M,25,2542,other or not specified
3908,M,25,10021,other or not specified
3928,M,25,55812,other or not specified
3934,M,25,44512,other or not specified
3947,M,25,90019,other or not specified
3956,M,25,94930-2010,other or not specified
3966,M,25,30096,other or not specified
3983,M,25,30606,other or not specified
3993,M,25,22015,other or not specified
4014,M,25,48316-5601,other or not specified
4031,M,25,42445,other or not specified
4034,M,25,21113,other or not specified
4066,M,25,19010,other or not specified
4095,M,25,10013,other or not specified
4140,M,25,32112,other or not specified
4150,M,25,29672,other or not specified
4292,M,25,98178,other or not specified
4307,M,25,94122,other or not specified
4308,M,25,33702,other or not specified
4309,M,25,36301,other or not specified
4325,M,25,30082,other or not specified
4342,M,25,66614,other or not specified
4377,M,25,32444,other or not specified
4384,M,25,43623,other or not specified
4390,M,25,11201,other or not specified
4433,M,25,43081,other or not specified
4480,M,25,94403,other or not specified
4518,M,25,80903,other or not specified
4552,M,25,22306,other or not specified
4560,M,25,69301,other or not specified
4569,M,25,21532,other or not specified
4578,M,25,2134,other or not specified
4600,M,25,46240,other or not specified
4607,M,25,27403,other or not specified
4632,M,25,98040,other or not specified
4642,M,25,44691,other or not specified
4643,M,25,98115,other or not specified
4683,M,25,22101,other or not specified
4708,M,25,60647,other or not specified
4778,M,25,46227,other or not specified
4783,M,25,60618,other or not specified
4829,M,25,20008,other or not specified
4862,M,25,94086,other or not specified
4989,M,25,55121,other or not specified
5101,M,25,90069,other or not specified
5113,M,25,55408,other or not specified
5122,M,25,20009,other or not specified
5207,M,25,98102,other or not specified
5229,M,25,60173,other or not specified
5274,M,25,60611,other or not specified
5292,M,25,97401,other or not specified
5309,M,25,2478,other or not specified
5375,M,25,2131,other or not specified
5404,M,25,30068,other or not specified
5445,M,25,43223,other or not specified
5486,M,25,17821,other or not specified
5509,M,25,11215,other or not specified
5574,M,25,20878,other or not specified
5581,M,25,10016,other or not specified
5614,M,25,12833,other or not specified
5627,M,25,7040,other or not specified
5659,M,25,20874,other or not specified
5689,M,25,84119,other or not specified
5697,M,25,95826,other or not specified
5717,M,25,3766,other or not specified
5720,M,25,60610,other or not specified
5747,M,25,3755,other or not specified
5748,M,25,92155,other or not specified
5770,M,25,80231,other or not specified
5788,M,25,92646,other or not specified
5814,M,25,91403,other or not specified
5816,M,25,70119,other or not specified
5836,M,25,91604,other or not specified
5896,M,25,60657,other or not specified
6019,M,25,10024,other or not specified
6023,M,25,43213,other or not specified
15,M,25,22903,executive/managerial
26,M,25,23112,executive/managerial
142,M,25,10011,executive/managerial
169,M,25,55439,executive/managerial
204,M,25,92123,executive/managerial
225,M,25,11215,executive/managerial
258,M,25,55436,executive/managerial
300,M,25,78664,executive/managerial
303,M,25,20006,executive/managerial
331,M,25,55902,executive/managerial
435,M,25,55125,executive/managerial
449,M,25,85037,executive/managerial
463,M,25,55105,executive/managerial
532,M,25,94301,executive/managerial
595,M,25,10019,executive/managerial
609,M,25,10012,executive/managerial
616,M,25,94115,executive/managerial
732,M,25,7030,executive/managerial
734,M,25,90078,executive/managerial
808,M,25,85226,executive/managerial
843,M,25,49321,executive/managerial
861,M,25,37027,executive/managerial
863,M,25,62522,executive/managerial
898,M,25,77005,executive/managerial
915,M,25,72762,executive/managerial
923,M,25,37212,executive/managerial
964,M,25,94123,executive/managerial
1030,M,25,97303,executive/managerial
1064,M,25,91344,executive/managerial
1079,M,25,98115,executive/managerial
1085,M,25,34695,executive/managerial
1090,M,25,94105,executive/managerial
1144,M,25,94025,executive/managerial
1204,M,25,95076,executive/managerial
1219,M,25,12206,executive/managerial
1251,M,25,48188,executive/managerial
1292,M,25,94904,executive/managerial
1297,M,25,92109,executive/managerial
1332,M,25,2840,executive/managerial
1340,M,25,14302,executive/managerial
1400,M,25,92130,executive/managerial
1472,M,25,90248,executive/managerial
1482,M,25,94132,executive/managerial
1488,M,25,94538,executive/managerial
1506,M,25,8550,executive/managerial
1729,M,25,53715,executive/managerial
1804,M,25,22314,executive/managerial
1825,M,25,50310,executive/managerial
1866,M,25,94043,executive/managerial
1932,M,25,94114,executive/managerial
1947,M,25,94041,executive/managerial
1990,M,25,85257,executive/managerial
2020,M,25,45011,executive/managerial
2022,M,25,60137,executive/managerial
2165,M,25,32836,executive/managerial
2321,M,25,30115,executive/managerial
2415,M,25,22407,executive/managerial
2436,M,25,22902,executive/managerial
2453,M,25,55429,executive/managerial
2458,M,25,85040,executive/managerial
2463,M,25,33916,executive/managerial
2504,M,25,98115,executive/managerial
2505,M,25,55405,executive/managerial
2510,M,25,37930,executive/managerial
2511,M,25,15209,executive/managerial
2518,M,25,11793,executive/managerial
2553,M,25,29369,executive/managerial
2577,M,25,77099,executive/managerial
2614,M,25,15205,executive/managerial
2615,M,25,21029,executive/managerial
2645,M,25,60657,executive/managerial
2653,M,25,94109,executive/managerial
2658,M,25,60115,executive/managerial
2690,M,25,24210,executive/managerial
2696,M,25,24210,executive/managerial
2700,M,25,30117,executive/managerial
2708,M,25,44115,executive/managerial
2713,M,25,96811,executive/managerial
2735,M,25,22903,executive/managerial
2759,M,25,36102,executive/managerial
2764,M,25,91403,executive/managerial
2769,M,25,20170,executive/managerial
2803,M,25,94022,executive/managerial
2809,M,25,10016,executive/managerial
2816,M,25,60015,executive/managerial
2866,M,25,53717,executive/managerial
2909,M,25,43228,executive/managerial
2915,M,25,23423,executive/managerial
2958,M,25,91911,executive/managerial
2969,M,25,6851,executive/managerial
2999,M,25,33813,executive/managerial
3081,M,25,77252,executive/managerial
3125,M,25,10025,executive/managerial
3129,M,25,21117,executive/managerial
3130,M,25,32835,executive/managerial
3155,M,25,55112,executive/managerial
3161,M,25,55408,executive/managerial
3231,M,25,55112,executive/managerial
3280,M,25,33486,executive/managerial
3314,M,25,6516,executive/managerial
3332,M,25,6854,executive/managerial
3345,M,25,18655,executive/managerial
3354,M,25,18615,executive/managerial
3395,M,25,2134,executive/managerial
3423,M,25,84088,executive/managerial
3446,M,25,30620,executive/managerial
3478,M,25,10019,executive/managerial
3620,M,25,94117,executive/managerial
3628,M,25,78731,executive/managerial
3647,M,25,80202,executive/managerial
3681,M,25,29662,executive/managerial
3686,M,25,48070,executive/managerial
3691,M,25,21030,executive/managerial
3698,M,25,53202,executive/managerial
3753,M,25,42518,executive/managerial
3757,M,25,92612,executive/managerial
3783,M,25,97267,executive/managerial
3797,M,25,2420,executive/managerial
3798,M,25,48326,executive/managerial
3808,M,25,60010,executive/managerial
3835,M,25,40515,executive/managerial
3847,M,25,12801,executive/managerial
3874,M,25,92103,executive/managerial
3880,M,25,54942,executive/managerial
3932,M,25,49221,executive/managerial
3973,M,25,60614,executive/managerial
3984,M,25,75089,executive/managerial
3986,M,25,33324,executive/managerial
3991,M,25,33309,executive/managerial
4026,M,25,68164,executive/managerial
4062,M,25,60559,executive/managerial
4089,M,25,79416,executive/managerial
4097,M,25,63366,executive/managerial
4137,M,25,91941,executive/managerial
4138,M,25,91423,executive/managerial
4186,M,25,33308,executive/managerial
4202,M,25,21234,executive/managerial
4215,M,25,77006,executive/managerial
4263,M,25,40205,executive/managerial
4287,M,25,35244,executive/managerial
4353,M,25,11215,executive/managerial
4424,M,25,94109,executive/managerial
4435,M,25,76904,executive/managerial
4477,M,25,98908,executive/managerial
4487,M,25,1850,executive/managerial
4509,M,25,38261,executive/managerial
4532,M,25,10025,executive/managerial
4546,M,25,49686,executive/managerial
4559,M,25,5346,executive/managerial
4625,M,25,92691,executive/managerial
4641,M,25,20016,executive/managerial
4650,M,25,30041,executive/managerial
4682,M,25,5346,executive/managerial
4703,M,25,2035,executive/managerial
4824,M,25,55411,executive/managerial
4853,M,25,55346,executive/managerial
4856,M,25,94110,executive/managerial
4901,M,25,11228,executive/managerial
4932,M,25,63303,executive/managerial
4939,M,25,63105,executive/managerial
4961,M,25,46220,executive/managerial
5019,M,25,10025,executive/managerial
5121,M,25,91608,executive/managerial
5153,M,25,60046,executive/managerial
5181,M,25,19003,executive/managerial
5192,M,25,80303,executive/managerial
5194,M,25,55409,executive/managerial
5220,M,25,91436,executive/managerial
5237,M,25,55441,executive/managerial
5272,M,25,90210,executive/managerial
5324,M,25,2150,executive/managerial
5327,M,25,55408,executive/managerial
5379,M,25,84095,executive/managerial
5391,M,25,10016,executive/managerial
5442,M,25,63110,executive/managerial
5496,M,25,90069,executive/managerial
5621,M,25,2135,executive/managerial
5624,M,25,19380,executive/managerial
5636,M,25,98102,executive/managerial
5701,M,25,55311,executive/managerial
5711,M,25,47714,executive/managerial
5739,M,25,90212,executive/managerial
5771,M,25,95616,executive/managerial
5797,M,25,78757,executive/managerial
5809,M,25,37206,executive/managerial
5813,M,25,94117,executive/managerial
5837,M,25,60607,executive/managerial
5859,M,25,89117,executive/managerial
5893,M,25,2139,executive/managerial
5900,M,25,60628,executive/managerial
5923,M,25,5401,executive/managerial
9,M,25,61614,technician/engineer
61,M,25,95122,technician/engineer
82,M,25,48380,technician/engineer
93,M,25,95825,technician/engineer
94,M,25,28601,technician/engineer
115,M,25,28083,technician/engineer
116,M,25,55744,technician/engineer
117,M,25,33314,technician/engineer
132,M,25,99709,technician/engineer
144,M,25,29401,technician/engineer
190,M,25,55125,technician/engineer
206,M,25,20194,technician/engineer
223,M,25,28262,technician/engineer
247,M,25,94404,technician/engineer
282,M,25,94401,technician/engineer
359,M,25,55128,technician/engineer
377,M,25,55418,technician/engineer
398,M,25,55454,technician/engineer
424,M,25,55112,technician/engineer
448,M,25,80123,technician/engineer
